Difference
-857969
1292029
-3678967
2776028
-693970
-2315967
3042027
-58970
-3615967
4112026
100030
-14301956
9457021
3895026
931029
-292970
441030
-568969
-2520968
3074027
-963969
-11168959
12014018
47030
-671969
-4584966
-281969
5650024
-10647959
10643019
-918969
-12600957
12990017
89029
127030
-1447968
391029
1062029
-2629967
2730027
-754969
-267970
-3244966
4470025
-120970
-6878963
3762026
-2437967
-4413966
8909021
-1440968
-11305959
10567019
3082027
-4149966
-7510962
11642018
272030
-7920962
7343023
-3617967
-13464956
16858013
864029
283030
-3699967
3007027
-4414965
4768025
-297970
76030
-284969
-4597966
5227025
-554969
-5984964
5096024
205030
-2536967
1389028
1977028
132030
246030
-1261969
726030
-9993960
8359021
-3756966
-1641968
6977023
428029
-3171967
-2994967
3042027
2071028
-3691966
-102970
-750969
5426024
-3212966
2863027
408029
-1496968
1791028
-398970
-11045959
10965019
-8946961
-6052964
14854016
19030
592029
-3193967
-1919968
4348026
-8896961
8973021
-48970
650029
-507969
242029
-1031969
-2451967
2571027
1425029
-11172959
10651019
-602969
-1981968
2255028
-530970
1208029
-5675964
5553024
-487969
446029
-1033969
-3671966
4747025
-7965962
7958022
-3749966
2643027
655030
396029
-9284960
8834021
-323970
756029
-668969
822029
107030
-9597960
9689020
-330970
-13201957
13290017
120030
-30970
-2219968
1783029
155029
-10450959
10848019
-361970
-12970
-269969
-636970
1365029
-490970
25030
-541969
-1066969
1384029
221029
54030
-6130964
406030
5952024
-477969
460029
-997969
-10067960
9814020
930029
-568969
5030
-43970
310030
-3353967
3410027
335029
13030
-4542965
3522026
-192969
-12144958
12931017
513029
-322969
566029
-1156969
924029
-964969
471030
-16104954
15761014
736029
399030
-3571966
3051027
-724970
-7750962
6905023
1128029
-2481968
-3531966
2707027
3636027
-5903964
5721024
-4740965
-5826965
8425022
-182970
-223970
-2666967
-130970
6160024
-3507966
-5044965
7432022
-7112963
7208023
907029
-38970
-4972965
-586969
5427024
-5212964
4971025
417029
-5745964
5685024
174030
-1885968
1081029
-5955964
6387023
-5164964
4738025
-9297961
9887020
-706969
-766969
1276028
295030
-2868967
1963028
-15447954
15977014
488029
-730969
-163970
548029
177030
-1036969
-40970
-4058966
-8490961
12675017
-3206967
3037027
-199969
848029
-92970
-4353966
4153026
701029
232030
-727969
-333970
-119970
-14524955
15275014
-911969
1158029
-1499968
1554028
-840969
-9078961
2881027
6966023
-865969
70030
310030
184030
355029
188030
-904969
-3392967
-1251968
5235024
-8999961
8466022
-378970
-3131967
1236029
2851027
-713969
590029
-3046967
-3587966
-8048962
14355016
-5799964
1636028
1394029
-4120966
6943023
188030
-54970
-335970
-9268961
9726020
-11428958
-3604966
13809016
568029
1052029
-751969
506029
-538969
-7664962
4562025
2947027
251030
-387970
449030
-378970
-1044969
-1284969
2346028
-5519964
6159023
-10735959
10741019
-8414961
5062025
2735027
-4710965
4641025
-5405964
795029
5325024
273030
-1027969
-12105958
13164017
-167970
-14063956
13871017
-22970
-2166968
-263970
1868028
-165970
-8667961
8070022
404029
-11078958
12078017
-5044964
-1252969
6728023
-869969
-206970
-3123967
3641027
-293970
-12221958
6477024
-8876961
14351015
1113029
-1255969
22030
-2222967
-3006967
5799024
-10176960
9840020
513030
-4055966
4232025
-4413965
3751026
-7981962
8732021
-10016960
9549021
-15512955
15481015
-161970
-1338969
1524029
-839969
-5747965
-426969
7726022
-24970
-4351966
-192969
4252025
-591969
191030
-6715963
7377022
-983969
613030
-520970
-3389967
-7094962
10598019
-6274964
6690024
-170970
-724970
108030
-121970
503030
-35970
-1175969
-6820963
8142022
-1098969
63030
-4832965
6373023
-850969
433030
-318970
-951969
1693028
-167970
-1641968
1471029
-2042968
-2479968
4092026
691029
-6594963
6568023
-955969
732030
-698970
-1881968
1482029
-6042964
4764025
2765027
-1857968
-342970
-5462964
7235023
-3515967
3780026
-2883967
1954028
-4070966
5256025
-13333956
13147016
146030
-493969
-2820967
-2648968
5445025
-712970
-1224968
1691028
353030
-6692964
7076023
-143970
-1343968
653029
-979969
-6677963
5723024
-2991967
4921025
-2996967
3828026
-916969
-393969
-289970
-3596967
-6369963
10782019
-450969
353029
-789969
1118029
-524970
-8981961
-25970
6502024
-2012968
5374025
-173970
-331970
-637969
1096029
-1926968
1944028
-11030959
10599019
-4396966
2106028
1629029
1293028
-559969
-244970
-2487967
-13370957
12342018
2278027
2082028
-3115967
1918029
16030
-2942968
3937027
-216970
-14592956
9834021
4396025
178030
-5635964
5759024
-147970
-560969
1134028
-446969
-12016958
10448019
1838029
-13460957
3020027
-1824968
-1208969
-7625962
20905009
-10283960
-1902968
11676018
497030
-499970
-6800963
6840023
417030
-12412958
12918017
-1576968
-10288960
10572020
299029
507030
-5872964
5884024
343029
-10881959
9699021
1155029
-390970
502029
-1413968
1638028
-4762965
4407026
-48970
-10181960
1313028
8944022
-260970
273030
-6193964
1241028
-6525963
11235019
-471970
-14270956
14861016
-339970
-1422969
-1118968
-1119969
-2164968
4401025
-3772966
5807024
-11132958
7313022
2377028
1281029
-5550965
4683025
1122029
-2545967
2298028
-897970
465030
-7831962
2635027
-2870967
7938022
-8101962
8737021
-12589957
1293029
-2112968
13327017
-1310969
1208029
35030
-7509963
7144023
-7888962
-7462963
15444015
-6816963
7375022
-12105958
12211018
-888969
-10350960
10138020
980029
-753969
-15109955
7011023
7132023
-2559967
2939027
1490028
-1027969
-3767966
1414029
2235027
-6166963
3949026
2613027
-90970
820029
-449969
-3157967
1804028
-2388968
-3364966
-8488962
14654016
1284028
-6925963
6594024
-1448969
-14650955
-258970
16660013
-265969
-121970
-283970
414030
-4645966
3416027
-3535967
562030
2588027
1676029
-1005969
-2564968
-2009968
3127027
-4881965
-7489963
14547016
-424970
-2862967
30
3678027
-970
-4826966
722030
-6141964
8764021
-786969
2250028
-586970
-1406968
1687028
-6414964
423030
6297024
-8877962
8458022
141030
-463970
-493969
898029
-7544963
2169028
-5823964
11001019
300030
-328970
300030
-10371960
-1798968
9413021
1482028
759029
-1039969
111030
795029
-2685967
3132027
331030
-6806963
6552023
136030
-17701952
17661012
-545970
413030
-2076968
2161028
158030
182030
-4083966
-8535962
-2215968
13811017
671029
-159970
297030
223030
189029
-1425968
-1317969
-3648966
5182025
-377970
615029
913029
-9380960
4981025
4142026
-2155968
1672028
-632969
-6933963
-89970
6740023
1158029
223030
-844969
680029
-610969
-2275968
3478026
-1666968
-2988967
22030
3943026
408030
-1047969
-5920964
4917025
-2050968
4355025
-2606967
1758028
-1964968
1330029
-2201968
3494027
-1007969
-12989957
13128016
352030
27030
-6591963
-1720969
8012022
-4994965
1510029
-858969
3621026
883029
408030
129030
-6102964
5366024
-3003967
-7422962
10291020
931029
-15291955
14335016
530029
-458969
875029
-8898961
1419028
2180028
4472025
-2652967
124030
2949027
338030
-280970
-288970
-6087964
5665025
-8665962
8336022
942029
-127970
264030
-1610968
-8823962
-431969
3756026
7655022
-2495967
2349028
-2743968
1995028
62030
66030
-1792968
419030
1123028
227030
604030
-6326964
5536024
385030
-55970
69030
384030
-1216969
912029
-12130958
11354019
748029
-195970
236030
-242970
-304969
-4562966
4963025
-3103967
3687027
-1523969
668029
388030
-741969
-5947964
6985023
-846969
-6089964
1249028
3044027
-9272960
-647970
11952018
-3477966
3665026
-291970
6030
-121969
-5892965
2685028
-4170966
-4294966
11154019
-2875967
-3591966
5919024
1534028
515030
-235970
219030
-963969
-845970
-928969
826030
-499970
472030
-4713966
6408024
-236970
-3229967
3508027
-7579963
7253023
-990969
1611029
-8034962
7324022
-426969
-1508969
1462029
353029
-9462960
-3165967
13021017
-5614964
5279024
236030
-543969
278029
-252969
1107028
-6452963
5567024
-1591968
-9112961
10559020
424029
314030
-2519968
2387028
-1403969
-7815962
-2784967
-8110962
20318010
-2124968
1566028
-1120969
-4570965
5789024
446030
-723970
-189969
-4420966
2334028
2431027
-416969
-443970
-12626957
9186021
-2369968
-5921964
341030
11621018
412030
-333970
-1363969
-8652961
9980020
-7686962
-860970
9532021
-5924964
-3205967
8875021
-5146965
5183025
-510969
-2555968
-1158969
3385027
1268029
-1481969
-3221967
-1797968
2378028
3384026
-25969
-5948965
6691024
-1095969
74030
-9719960
9020021
-7797963
-436969
10051020
-4985965
2227027
2673028
-442970
-98970
-468969
-1085969
1437028
-4972965
1153029
3640027
-658970
619030
-5936964
5608024
781029
-477969
-5497965
4811025
-447969
2020028
22030
-4165966
1560028
-3099966
-8350962
12625017
